-67.568,10.13,0,45.523,-52.821,0,45.523,-52.821,120
-67.568,10.13,0,45.523,-52.821,120,45.523,-52.821,0
-67.568,10.13,0,45.523,-52.821,120,-67.568,10.13,120
-67.568,10.13,0,-67.568,10.13,120,45.523,-52.821,120
45.523,-52.821,0,74.5,-0.7681,0,74.5,-0.7681,120
45.523,-52.821,0,74.5,-0.7681,120,74.5,-0.7681,0
45.523,-52.821,0,74.5,-0.7681,120,45.523,-52.821,120
45.523,-52.821,0,45.523,-52.821,120,74.5,-0.7681,120
74.5,-0.7681,0,-38.574,62.172,0,-38.574,62.172,120
74.5,-0.7681,0,-38.574,62.172,120,-38.574,62.172,0
74.5,-0.7681,0,-38.574,62.172,120,74.5,-0.7681,120
74.5,-0.7681,0,74.5,-0.7681,120,-38.574,62.172,120
-38.574,62.172,0,-52.725,36.747,0,-52.725,36.747,120
-38.574,62.172,0,-52.725,36.747,120,-52.725,36.747,0
-38.574,62.172,0,-52.725,36.747,120,-38.574,62.172,120
-38.574,62.172,0,-38.574,62.172,120,-52.725,36.747,120
-52.725,36.747,0,-55.272,32.171,0,-55.272,32.171,120
-52.725,36.747,0,-55.272,32.171,120,-55.272,32.171,0
-52.725,36.747,0,-55.272,32.171,120,-52.725,36.747,120
-52.725,36.747,0,-52.725,36.747,120,-55.272,32.171,120
-55.272,32.171,0,-66.109,12.746,0,-66.109,12.746,120
-55.272,32.171,0,-66.109,12.746,120,-66.109,12.746,0
-55.272,32.171,0,-66.109,12.746,120,-55.272,32.171,120
-55.272,32.171,0,-55.272,32.171,120,-66.109,12.746,120
-66.109,12.746,0,-67.568,10.13,0,-67.568,10.13,120
-66.109,12.746,0,-67.568,10.13,120,-67.568,10.13,0
-66.109,12.746,0,-67.568,10.13,120,-66.109,12.746,120
-66.109,12.746,0,-66.109,12.746,120,-67.568,10.13,120
-66.109,12.746,0,-67.568,10.13,0,45.523,-52.821,0
-66.109,12.746,0,45.523,-52.821,0,-67.568,10.13,0
-66.109,12.746,0,45.523,-52.821,0,74.5,-0.7681,0
-66.109,12.746,0,74.5,-0.7681,0,45.523,-52.821,0
74.5,-0.7681,0,-38.574,62.172,0,-52.725,36.747,0
74.5,-0.7681,0,-52.725,36.747,0,-38.574,62.172,0
74.5,-0.7681,0,-52.725,36.747,0,-55.272,32.171,0
74.5,-0.7681,0,-55.272,32.171,0,-52.725,36.747,0
74.5,-0.7681,0,-55.272,32.171,0,-66.109,12.746,0
74.5,-0.7681,0,-66.109,12.746,0,-55.272,32.171,0
-57.001,-52.376,0,-63.849,-48.558,0,-63.849,-48.558,22.2
-57.001,-52.376,0,-63.849,-48.558,22.2,-63.849,-48.558,0
-57.001,-52.376,0,-63.849,-48.558,22.2,-57.001,-52.376,22.2
-57.001,-52.376,0,-57.001,-52.376,22.2,-63.849,-48.558,22.2
-63.849,-48.558,0,-49.394,-22.386,0,-49.394,-22.386,22.2
-63.849,-48.558,0,-49.394,-22.386,22.2,-49.394,-22.386,0
-63.849,-48.558,0,-49.394,-22.386,22.2,-63.849,-48.558,22.2
